50 612
6 3
10 8
4 5
9 2
9 3
8 5
4 6
2 2
5 9
2 9
2 8
8 4
9 6
3 9
2 3
4 10
8 6
1 10
3 2
5 4
9 9
5 5
6 7
7 7
10 5
6 5
9 8
6 8
3 4
1 9
9 9
6 2
5 6
8 9
5 7
6 7
6 9
9 10
4 4
6 4
10 8
9 3
2 8
8 9
4 3
9 5
5 10
3 8
10 2
3 8
1 2 2
1 3 2
1 7 1
1 11 2
1 12 1
1 13 2
1 16 2
1 20 2
1 21 1
1 22 2
1 23 2
1 28 1
1 29 2
1 31 1
1 34 2
1 37 1
1 38 2
1 40 1
1 42 2
1 43 1
1 45 1
1 46 1
1 47 2
1 48 1
2 3 4
2 4 1
2 5 1
2 9 5
2 10 3
2 11 3
2 12 2
2 14 4
2 16 2
2 17 5
2 18 2
2 19 1
2 21 4
2 22 2
2 23 1
2 26 1
2 27 5
2 28 5
2 29 1
2 33 1
2 35 4
2 36 1
2 43 6
2 44 5
2 46 4
2 47 7
2 49 1
2 50 7
3 4 1
3 7 4
3 9 3
3 18 1
3 20 1
3 23 4
3 24 4
3 25 3
3 30 3
3 31 3
3 32 1
3 33 4
3 34 1
3 35 4
3 38 3
3 39 1
3 42 2
3 44 2
3 45 1
3 46 4
3 48 4
3 49 1
4 5 1
4 7 1
4 8 1
4 9 1
4 10 1
4 13 1
4 15 1
4 17 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 28 1
4 29 1
4 30 1
4 32 1
4 33 1
4 34 1
4 35 1
4 37 1
4 46 1
4 47 1
4 50 1
5 6 2
5 7 2
5 8 1
5 10 2
5 15 1
5 18 1
5 19 1
5 20 1
5 21 2
5 22 1
5 25 2
5 29 1
5 31 1
5 32 1
5 34 2
5 37 2
5 39 1
5 40 2
5 43 1
5 45 2
5 47 1
5 48 1
5 49 1
6 7 1
6 9 2
6 12 2
6 13 4
6 14 2
6 18 1
6 23 3
6 24 1
6 30 3
6 32 1
6 33 3
6 34 3
6 43 4
6 44 3
6 45 1
6 47 3
6 50 3
7 8 1
7 9 5
7 10 2
7 17 5
7 18 2
7 22 1
7 24 4
7 25 3
7 28 2
7 29 1
7 30 1
7 31 5
7 34 2
7 35 3
7 39 1
7 40 1
7 41 2
7 42 1
7 45 2
7 46 4
7 47 5
7 48 1
7 49 1
8 9 1
8 13 1
8 16 1
8 19 1
8 20 1
8 23 1
8 31 1
8 34 1
8 35 1
8 36 1
8 37 1
8 41 1
8 44 1
8 46 1
8 49 1
9 10 5
9 12 1
9 15 2
9 16 7
9 17 3
9 18 6
9 22 4
9 25 2
9 26 2
9 27 6
9 30 1
9 32 1
9 33 5
9 34 2
9 35 4
9 39 3
9 41 1
9 42 1
9 44 1
9 46 3
9 48 7
9 49 1
10 11 7
10 12 1
10 13 2
10 18 6
10 22 1
10 24 2
10 25 4
10 28 6
10 29 3
10 30 5
10 31 8
10 33 1
10 34 1
10 35 2
10 36 2
10 37 6
10 40 3
10 44 2
10 47 5
10 48 5
10 50 7
11 12 2
11 17 1
11 19 1
11 24 2
11 26 3
11 27 7
11 31 5
